,Fecha,Precipitacion,Evaporacion,Tmax,Tmin,Año,Mes
73,1974-08-25,7.0,4.5,33.0,22.0,1974,8
74,1974-08-26,0.0,5.8,33.0,21.5,1974,8
75,1974-08-27,0.0,9.4,33.5,22.0,1974,8
76,1974-08-28,0.0,8.6,34.5,22.0,1974,8
77,1974-08-29,0.0,8.1,34.5,22.0,1974,8
78,1974-08-30,0.0,7.0,38.0,20.0,1974,8
79,1974-08-31,0.0,5.8,32.0,20.5,1974,8
80,1974-09-01,0.0,7.6,34.0,24.0,1974,9
81,1974-09-02,0.0,9.5,33.5,24.5,1974,9
82,1974-09-03,0.0,9.8,35.0,26.0,1974,9
83,1974-09-04,0.0,9.8,32.5,25.0,1974,9
84,1974-09-05,0.0,13.1,32.5,24.0,1974,9
85,1974-09-06,0.0,11.4,34.0,26.0,1974,9
86,1974-09-07,0.0,12.3,40.0,26.5,1974,9
87,1974-09-08,0.0,7.1,42.0,26.0,1974,9
88,1974-09-09,0.0,7.6,38.5,26.5,1974,9
89,1974-09-10,0.0,7.8,37.5,27.0,1974,9
90,1974-09-11,0.0,11.0,34.5,27.0,1974,9
91,1974-09-12,0.0,5.3,34.0,26.5,1974,9
92,1974-09-13,0.0,8.0,33.0,26.0,1974,9
93,1974-09-14,0.0,5.5,32.0,21.0,1974,9
94,1974-09-15,0.0,6.7,33.5,22.5,1974,9
95,1974-09-16,0.0,4.5,32.5,23.5,1974,9
96,1974-09-17,2.5,6.0,34.5,22.0,1974,9
97,1974-09-18,0.0,6.4,35.0,19.0,1974,9
98,1974-09-19,0.0,6.5,36.0,20.0,1974,9
99,1974-09-20,0.0,6.5,35.5,22.0,1974,9
100,1974-09-21,0.0,7.4,34.0,20.0,1974,9
101,1974-09-22,0.0,11.6,33.0,20.0,1974,9
102,1974-09-23,0.0,5.5,33.0,19.0,1974,9
103,1974-09-24,0.0,8.8,33.5,20.5,1974,9
104,1974-09-25,0.0,7.2,33.5,21.0,1974,9
105,1974-09-26,0.0,6.6,30.5,21.0,1974,9
106,1974-09-27,0.0,5.6,31.5,21.5,1974,9
107,1974-09-28,0.0,6.9,32.5,21.5,1974,9
108,1974-09-29,0.0,7.7,33.0,21.0,1974,9
109,1974-09-30,0.0,6.1,34.5,22.0,1974,9
110,1974-10-01,0.0,4.5,35.5,20.5,1974,10
111,1974-10-02,0.0,7.8,35.0,20.0,1974,10
112,1974-10-03,0.0,5.4,36.0,22.0,1974,10
113,1974-10-04,0.0,6.7,36.5,22.5,1974,10
114,1974-10-05,0.0,5.1,33.0,20.0,1974,10
115,1974-10-06,0.0,5.8,34.0,18.0,1974,10
116,1974-10-07,0.0,8.4,35.0,20.5,1974,10
117,1974-10-08,0.0,8.5,35.5,19.5,1974,10
118,1974-10-09,0.0,6.5,35.0,19.0,1974,10
119,1974-10-10,0.0,5.9,34.0,17.5,1974,10
120,1974-10-11,4.0,4.7,31.5,18.0,1974,10
121,1974-10-12,0.0,6.2,31.0,18.5,1974,10
122,1974-10-13,0.0,6.3,31.5,14.0,1974,10
123,1974-10-14,0.0,4.9,32.5,15.5,1974,10
124,1974-10-15,0.0,7.3,33.0,15.0,1974,10
125,1974-10-16,0.0,4.7,34.5,17.5,1974,10
126,1974-10-17,0.0,7.1,33.5,16.5,1974,10
127,1974-10-18,0.0,7.1,34.0,14.5,1974,10
128,1974-10-19,0.0,7.7,33.5,14.0,1974,10
129,1974-10-20,0.0,5.6,31.5,13.5,1974,10
130,1974-10-21,2.5,7.7,31.0,15.5,1974,10
131,1974-10-22,0.0,2.1,25.0,17.0,1974,10
132,1974-10-23,0.0,5.3,26.0,16.5,1974,10
133,1974-10-24,0.0,4.3,28.5,11.0,1974,10
134,1974-10-25,0.0,3.8,29.5,11.0,1974,10
135,1974-10-26,0.0,3.4,28.0,11.5,1974,10
136,1974-10-27,0.0,5.9,27.0,9.5,1974,10
137,1974-10-28,0.0,4.2,24.5,10.5,1974,10
138,1974-10-29,0.0,4.6,23.5,12.5,1974,10
139,1974-10-30,0.0,4.0,24.0,7.5,1974,10
140,1974-10-31,0.0,4.7,24.5,10.0,1974,10
141,1974-11-01,0.0,5.0,25.0,15.5,1974,11
142,1974-11-02,0.0,5.2,23.0,11.0,1974,11
143,1974-11-03,0.0,4.6,28.0,10.5,1974,11
144,1974-11-04,0.0,5.2,25.5,10.5,1974,11
145,1974-11-05,0.0,4.0,25.0,10.0,1974,11
146,1974-11-06,0.0,3.5,24.0,10.5,1974,11
147,1974-11-07,0.0,4.5,24.5,12.5,1974,11
148,1974-11-08,4.5,3.5,26.0,11.0,1974,11
149,1974-11-09,4.5,6.1,25.5,9.0,1974,11
150,1974-11-10,0.0,3.6,27.0,12.5,1974,11
151,1974-11-11,0.0,4.4,30.0,14.5,1974,11
152,1974-11-12,0.0,3.9,32.5,13.5,1974,11
153,1974-11-13,0.0,4.3,30.0,11.0,1974,11
154,1974-11-14,0.0,4.0,24.5,12.5,1974,11
155,1974-11-15,0.0,4.0,25.5,14.5,1974,11
156,1974-11-16,0.0,3.4,24.0,15.5,1974,11
157,1974-11-17,0.0,2.0,20.5,12.0,1974,11
158,1974-11-18,0.0,3.0,20.5,9.5,1974,11
159,1974-11-19,0.0,3.3,26.0,10.5,1974,11
160,1974-11-20,0.0,3.3,28.0,12.5,1974,11
161,1974-11-21,1.0,3.1,27.0,14.5,1974,11
162,1974-11-22,0.0,2.9,22.0,11.5,1974,11
163,1974-11-23,0.0,4.1,25.0,11.5,1974,11
164,1974-11-24,0.0,4.1,28.0,7.5,1974,11
165,1974-11-25,0.0,3.9,26.5,9.5,1974,11
166,1974-11-26,0.0,4.6,24.0,6.5,1974,11
167,1974-11-27,0.0,4.0,25.0,8.5,1974,11
168,1974-11-28,0.0,3.4,24.5,9.5,1974,11
169,1974-11-29,0.0,3.5,23.0,9.5,1974,11
170,1974-11-30,0.0,1.2,22.5,8.0,1974,11
171,1974-12-01,0.0,3.6,22.0,9.5,1974,12
172,1974-12-02,0.0,1.9,24.0,7.5,1974,12
173,1974-12-03,0.0,3.7,22.5,8.5,1974,12
174,1974-12-04,0.0,3.0,25.0,7.5,1974,12
175,1974-12-05,0.0,4.0,23.5,5.5,1974,12
176,1974-12-06,0.0,3.5,24.5,6.5,1974,12
177,1974-12-07,0.0,3.8,23.5,6.5,1974,12
178,1974-12-08,0.0,5.2,22.5,5.5,1974,12
179,1974-12-09,0.0,2.5,19.5,2.5,1974,12
180,1974-12-10,0.0,2.6,21.5,3.0,1974,12
181,1974-12-11,0.0,3.4,22.0,1.5,1974,12
182,1974-12-12,0.0,2.8,22.5,1.0,1974,12
183,1974-12-13,0.0,3.9,25.0,2.5,1974,12
184,1974-12-14,0.0,6.1,23.0,3.5,1974,12
185,1974-12-15,0.0,3.6,21.5,2.5,1974,12
186,1974-12-16,0.0,2.0,21.5,3.0,1974,12
187,1974-12-17,0.0,3.5,23.5,4.0,1974,12
188,1974-12-18,0.0,2.6,21.5,3.5,1974,12
189,1974-12-19,0.0,2.8,22.5,4.5,1974,12
190,1974-12-20,0.0,3.5,24.5,4.0,1974,12
191,1974-12-21,0.0,3.8,22.5,3.5,1974,12
192,1974-12-22,0.0,4.1,25.0,3.5,1974,12
193,1974-12-23,0.0,3.0,18.5,2.5,1974,12
194,1974-12-24,0.0,3.2,16.5,1.5,1974,12
195,1974-12-25,0.0,3.7,15.5,1.5,1974,12
196,1974-12-26,0.0,2.1,16.0,1.0,1974,12
197,1974-12-27,0.0,2.8,18.5,0.0,1974,12
198,1974-12-28,0.0,3.2,18.0,0.5,1974,12
199,1974-12-29,0.0,1.7,18.5,0.5,1974,12
200,1974-12-30,6.0,3.8,17.0,1.5,1974,12
201,1974-12-31,0.0,1.8,20.0,0.0,1974,12
202,1975-01-01,0.0,3.2,15.0,0.5,1975,1
203,1975-01-02,0.0,2.6,17.5,-1.0,1975,1
204,1975-01-03,0.0,3.1,15.5,0.5,1975,1
205,1975-01-04,0.0,2.2,18.0,2.0,1975,1
206,1975-01-05,0.0,3.3,11.5,1.0,1975,1
207,1975-01-06,0.0,2.8,17.5,2.5,1975,1
208,1975-01-07,0.0,2.3,16.0,2.0,1975,1
209,1975-01-08,0.0,2.6,20.0,3.0,1975,1
210,1975-01-09,0.0,1.3,16.0,4.5,1975,1
211,1975-01-10,0.0,3.3,15.5,0.5,1975,1
212,1975-01-11,0.0,2.8,18.0,0.0,1975,1
213,1975-01-12,0.0,4.5,17.5,3.0,1975,1
214,1975-01-13,0.0,3.4,17.5,6.0,1975,1
215,1975-01-14,0.0,3.2,19.0,5.5,1975,1
216,1975-01-15,0.0,2.8,22.0,1.5,1975,1
217,1975-01-16,0.0,2.6,21.5,0.5,1975,1
218,1975-01-17,0.0,9.2,26.0,1.0,1975,1
219,1975-01-18,0.0,1.0,26.5,3.0,1975,1
220,1975-01-19,0.0,5.6,26.0,3.5,1975,1
221,1975-01-20,0.0,15.6,22.0,4.0,1975,1
222,1975-01-21,0.0,,18.5,3.5,1975,1
223,1975-01-22,0.0,5.4,19.5,6.0,1975,1
224,1975-01-23,0.0,3.6,20.5,3.5,1975,1
225,1975-01-24,0.0,4.4,19.0,3.0,1975,1
226,1975-01-25,0.0,4.4,20.5,3.0,1975,1
227,1975-01-26,0.0,3.8,21.0,5.0,1975,1
228,1975-01-27,0.0,2.3,20.0,7.5,1975,1
229,1975-01-28,0.0,,19.5,7.5,1975,1
230,1975-01-29,9.5,5.8,17.0,8.0,1975,1
231,1975-01-30,0.0,5.7,17.0,7.0,1975,1
232,1975-01-31,0.0,4.5,15.5,6.5,1975,1
233,1975-02-01,0.0,2.4,15.5,8.0,1975,2
234,1975-02-02,0.0,2.6,17.0,4.0,1975,2
235,1975-02-03,0.0,3.3,20.5,3.5,1975,2
236,1975-02-04,0.0,2.7,19.5,3.5,1975,2
237,1975-02-05,0.0,3.2,20.5,4.5,1975,2
238,1975-02-06,0.0,3.6,24.0,6.0,1975,2
239,1975-02-07,0.0,2.4,24.0,5.5,1975,2
240,1975-02-08,0.0,3.2,22.0,6.0,1975,2
241,1975-02-09,0.0,3.3,25.0,5.5,1975,2
242,1975-02-10,0.0,3.4,23.5,6.5,1975,2
243,1975-02-11,0.0,4.4,24.0,6.5,1975,2
244,1975-02-12,0.0,4.5,27.5,5.5,1975,2
245,1975-02-13,0.0,4.3,28.5,3.5,1975,2
246,1975-02-14,0.0,3.3,23.0,5.5,1975,2
247,1975-02-15,0.0,3.0,20.5,3.5,1975,2
248,1975-02-16,0.0,3.1,20.5,3.5,1975,2
249,1975-02-17,0.0,4.6,19.0,3.0,1975,2
250,1975-02-18,0.0,4.5,19.5,2.5,1975,2
251,1975-02-19,0.0,4.4,21.0,1.5,1975,2
252,1975-02-20,0.0,5.6,22.0,0.5,1975,2
253,1975-02-21,0.0,6.2,20.5,3.0,1975,2
254,1975-02-22,0.0,5.6,14.5,2.0,1975,2
255,1975-02-23,0.0,5.7,19.0,0.0,1975,2
256,1975-02-24,0.0,4.4,24.5,1.0,1975,2
257,1975-02-25,0.0,5.1,25.0,1.5,1975,2
258,1975-02-26,0.0,3.6,23.5,4.0,1975,2
259,1975-02-27,0.0,5.8,28.5,4.0,1975,2
260,1975-02-28,0.0,5.9,29.0,5.5,1975,2
261,1975-03-01,0.0,7.5,23.5,5.0,1975,3
262,1975-03-02,0.0,,29.5,5.5,1975,3
263,1975-03-03,0.0,5.6,30.0,5.0,1975,3
264,1975-03-04,0.0,5.8,30.0,4.0,1975,3
265,1975-03-05,0.0,5.7,25.0,4.5,1975,3
266,1975-03-06,0.0,4.2,24.0,9.5,1975,3
267,1975-03-07,0.0,3.2,27.5,6.5,1975,3
268,1975-03-08,0.0,4.8,25.0,8.5,1975,3
269,1975-03-09,0.0,4.0,23.0,7.0,1975,3
270,1975-03-10,0.0,4.8,21.5,5.0,1975,3
271,1975-03-11,0.0,4.4,18.6,9.0,1975,3
272,1975-03-12,0.0,4.6,18.5,9.5,1975,3
273,1975-03-13,0.0,,21.5,3.5,1975,3
274,1975-03-14,0.0,9.6,21.5,6.5,1975,3
275,1975-03-15,0.0,5.1,20.0,4.5,1975,3
276,1975-03-16,0.0,6.1,24.0,2.5,1975,3
277,1975-03-17,0.0,0.5,23.5,4.5,1975,3
278,1975-03-18,0.0,5.7,28.5,4.0,1975,3
279,1975-03-19,0.0,6.4,30.5,5.5,1975,3
280,1975-03-20,0.0,8.3,28.5,6.5,1975,3
281,1975-03-21,0.0,5.0,26.5,9.0,1975,3
282,1975-03-22,0.0,5.8,26.5,7.5,1975,3
283,1975-03-23,0.0,6.9,25.0,7.0,1975,3
284,1975-03-24,0.0,6.8,25.5,4.5,1975,3
285,1975-03-25,0.0,6.7,27.0,5.5,1975,3
286,1975-03-26,0.0,6.3,20.5,8.0,1975,3
287,1975-03-27,0.0,5.3,18.5,4.5,1975,3
288,1975-03-28,0.0,4.4,19.5,5.5,1975,3
289,1975-03-29,0.0,6.2,21.5,2.5,1975,3
290,1975-03-30,0.0,5.8,22.5,3.5,1975,3
291,1975-03-31,0.0,7.3,21.5,3.5,1975,3
292,1975-04-01,0.0,5.1,20.5,3.5,1975,4
293,1975-04-02,0.0,7.8,24.0,5.5,1975,4
294,1975-04-03,0.0,10.7,23.0,3.0,1975,4
295,1975-04-04,0.0,1.8,22.0,4.5,1975,4
296,1975-04-05,0.0,6.0,21.5,6.0,1975,4
297,1975-04-06,0.0,6.2,20.0,8.0,1975,4
298,1975-04-07,0.0,5.7,17.5,5.5,1975,4
299,1975-04-08,0.0,6.1,19.5,5.5,1975,4
300,1975-04-09,0.0,5.3,19.0,6.0,1975,4
301,1975-04-10,0.0,6.8,21.0,5.0,1975,4
302,1975-04-11,0.0,8.6,21.5,4.0,1975,4
303,1975-04-12,0.0,,21.5,3.5,1975,4
304,1975-04-13,0.0,1.0,23.5,5.0,1975,4
305,1975-04-14,0.0,5.1,25.0,6.5,1975,4
306,1975-04-15,0.0,7.2,23.5,7.0,1975,4
307,1975-04-16,0.0,6.9,25.5,8.5,1975,4
308,1975-04-17,0.0,6.5,19.0,6.5,1975,4
309,1975-04-18,0.0,8.0,20.5,7.0,1975,4
310,1975-04-19,0.0,7.5,22.0,5.0,1975,4
311,1975-04-20,0.0,6.3,25.5,6.5,1975,4
312,1975-04-21,0.0,6.8,23.0,5.0,1975,4
313,1975-04-22,0.0,4.9,26.5,11.5,1975,4
314,1975-04-23,0.0,3.4,27.5,6.5,1975,4
315,1975-04-24,0.0,10.1,26.5,6.0,1975,4
316,1975-04-25,0.0,12.3,24.0,9.0,1975,4
317,1975-04-26,0.0,1.7,26.0,11.5,1975,4
318,1975-04-27,0.0,7.5,23.0,8.0,1975,4
319,1975-04-28,0.0,7.7,24.5,8.5,1975,4
320,1975-04-29,0.0,7.5,26.0,5.5,1975,4
321,1975-04-30,0.0,7.8,25.0,6.5,1975,4
322,1975-05-01,0.0,7.6,28.5,8.0,1975,5
323,1975-05-02,0.0,10.4,30.5,8.5,1975,5
324,1975-05-03,0.0,3.8,30.0,8.5,1975,5
325,1975-05-04,0.0,,29.5,8.5,1975,5
326,1975-05-05,0.0,7.2,26.5,9.0,1975,5
327,1975-05-06,0.0,7.4,24.5,6.0,1975,5
328,1975-05-07,0.0,8.2,27.5,5.5,1975,5
329,1975-05-08,0.0,8.2,28.5,6.5,1975,5
330,1975-05-09,0.0,8.6,30.5,7.5,1975,5
331,1975-05-10,0.0,8.4,31.5,9.5,1975,5
332,1975-05-11,0.0,9.0,32.0,11.5,1975,5
333,1975-05-12,0.0,10.5,32.5,11.0,1975,5
334,1975-05-13,0.0,8.0,30.5,12.0,1975,5
335,1975-05-14,0.0,9.7,31.0,12.5,1975,5
336,1975-05-15,0.0,8.6,29.5,12.5,1975,5
337,1975-05-16,0.0,8.3,25.0,11.5,1975,5
338,1975-05-17,0.0,7.3,24.5,10.5,1975,5
339,1975-05-18,0.0,6.2,26.0,10.0,1975,5
340,1975-05-19,0.0,7.8,27.5,9.5,1975,5
341,1975-05-20,0.0,10.0,27.5,12.0,1975,5
342,1975-05-21,0.0,8.8,26.0,12.0,1975,5
343,1975-05-22,0.0,8.6,28.5,8.5,1975,5
344,1975-05-23,0.0,8.6,29.5,7.5,1975,5
345,1975-05-24,0.0,9.8,32.0,8.5,1975,5
346,1975-05-25,0.0,9.6,31.5,11.5,1975,5
347,1975-05-26,0.0,11.0,34.0,12.0,1975,5
348,1975-05-27,0.0,10.8,33.5,12.5,1975,5
349,1975-05-28,0.0,10.5,32.5,11.5,1975,5
350,1975-05-29,0.0,11.8,32.5,12.0,1975,5
351,1975-05-30,0.0,10.0,32.5,13.0,1975,5
352,1975-05-31,0.0,8.5,34.5,12.5,1975,5
353,1975-06-01,0.0,10.0,36.0,13.5,1975,6
354,1975-06-02,0.0,10.9,35.5,14.0,1975,6
355,1975-06-03,0.0,14.4,31.0,14.5,1975,6
356,1975-06-04,0.0,9.3,32.5,12.5,1975,6
357,1975-06-05,0.0,10.4,30.5,12.0,1975,6
358,1975-06-06,0.0,8.4,31.0,18.5,1975,6
359,1975-06-07,0.0,,32.5,16.5,1975,6
360,1975-06-08,0.0,10.5,33.0,17.0,1975,6
361,1975-06-09,0.0,10.0,32.5,15.5,1975,6
362,1975-06-10,0.0,7.6,34.0,17.0,1975,6
363,1975-06-11,0.0,11.7,37.5,17.5,1975,6
364,1975-06-12,0.0,10.9,35.0,18.5,1975,6
365,1975-06-13,0.0,10.3,36.5,15.5,1975,6
366,1975-06-14,0.0,11.5,38.0,15.0,1975,6
367,1975-06-15,0.0,11.6,37.5,16.5,1975,6
368,1975-06-16,0.0,11.3,34.0,17.0,1975,6
369,1975-06-17,0.0,11.6,31.0,17.0,1975,6
370,1975-06-18,0.0,10.3,29.5,12.5,1975,6
371,1975-06-19,0.0,9.9,29.5,14.0,1975,6
372,1975-06-20,0.0,11.5,29.0,19.0,1975,6
373,1975-06-21,0.0,10.1,29.5,17.5,1975,6
374,1975-06-22,0.0,,30.0,14.5,1975,6
375,1975-06-23,0.0,2.0,31.0,14.5,1975,6
376,1975-06-24,0.0,10.4,33.0,12.5,1975,6
377,1975-06-25,0.0,11.9,34.5,15.0,1975,6
378,1975-06-26,0.0,11.0,37.5,15.5,1975,6
379,1975-06-27,0.0,11.2,38.0,16.0,1975,6
380,1975-06-28,0.0,12.2,37.5,15.0,1975,6
381,1975-06-29,0.0,12.7,37.0,17.5,1975,6
382,1975-06-30,0.0,11.4,37.5,17.5,1975,6
383,1975-07-01,0.0,10.1,33.5,19.5,1975,7
384,1975-07-02,0.0,9.8,33.0,23.5,1975,7
385,1975-07-03,0.0,8.3,34.5,23.0,1975,7
386,1975-07-04,0.0,8.7,35.0,24.5,1975,7
387,1975-07-05,0.0,6.7,35.0,23.5,1975,7
388,1975-07-06,3.0,10.9,33.5,26.5,1975,7
389,1975-07-07,0.0,7.1,33.0,24.5,1975,7
390,1975-07-08,0.0,9.6,35.0,24.0,1975,7
391,1975-07-09,0.0,9.5,36.5,23.0,1975,7
392,1975-07-10,2.0,7.3,36.0,26.5,1975,7
393,1975-07-11,0.0,11.1,35.5,23.5,1975,7
394,1975-07-12,0.0,9.1,32.5,25.5,1975,7
395,1975-07-13,0.0,8.7,33.5,23.5,1975,7
396,1975-07-14,0.0,7.9,35.0,23.0,1975,7
397,1975-07-15,0.0,9.2,37.0,23.0,1975,7
398,1975-07-16,0.0,10.5,33.5,25.5,1975,7
399,1975-07-17,0.0,8.1,33.0,26.0,1975,7
400,1975-07-18,0.0,10.1,34.5,25.5,1975,7
401,1975-07-19,5.5,6.0,33.0,23.0,1975,7
402,1975-07-20,0.0,8.2,32.5,22.0,1975,7
403,1975-07-21,0.0,7.3,32.0,24.0,1975,7
404,1975-07-22,5.1,8.9,31.5,25.0,1975,7
405,1975-07-23,0.0,9.8,32.5,23.5,1975,7
406,1975-07-24,0.0,9.4,37.5,26.0,1975,7
407,1975-07-25,7.5,9.3,36.5,25.0,1975,7
408,1975-07-26,0.6,9.4,31.0,27.0,1975,7
409,1975-07-27,0.0,8.3,33.0,24.5,1975,7
410,1975-07-28,0.0,6.4,35.5,26.5,1975,7
411,1975-07-29,0.0,7.2,34.0,26.0,1975,7
412,1975-07-30,0.0,9.4,33.5,25.5,1975,7
413,1975-07-31,0.0,10.8,35.5,24.5,1975,7
414,1975-08-01,0.0,9.2,37.0,22.5,1975,8
415,1975-08-02,0.0,10.8,36.0,23.5,1975,8
416,1975-08-03,0.0,8.8,35.0,25.5,1975,8
417,1975-08-04,1.0,9.8,35.5,24.0,1975,8
418,1975-08-05,0.0,8.0,34.5,25.5,1975,8
419,1975-08-06,0.0,9.3,36.5,25.5,1975,8
420,1975-08-07,0.0,14.5,36.0,25.0,1975,8
421,1975-08-08,0.0,3.5,35.5,24.5,1975,8
422,1975-08-09,0.0,10.4,34.5,24.0,1975,8
423,1975-08-10,0.0,10.5,36.0,24.0,1975,8
424,1975-08-11,0.0,7.8,33.5,24.5,1975,8
425,1975-08-12,0.0,9.1,35.0,25.5,1975,8
426,1975-08-13,0.0,8.1,34.5,24.0,1975,8
427,1975-08-14,0.0,11.7,35.0,23.0,1975,8
428,1975-08-15,0.0,10.5,34.5,23.5,1975,8
429,1975-08-16,0.0,10.4,37.5,22.0,1975,8
430,1975-08-17,0.0,9.7,35.5,21.0,1975,8
431,1975-08-18,0.0,6.9,33.0,21.5,1975,8
432,1975-08-19,0.0,9.3,33.5,23.0,1975,8
433,1975-08-20,0.0,10.2,34.5,25.0,1975,8
434,1975-08-21,0.0,9.2,36.0,24.0,1975,8
435,1975-08-22,0.0,9.8,37.0,23.5,1975,8
436,1975-08-23,0.0,7.9,36.5,22.5,1975,8
437,1975-08-24,0.0,8.2,34.5,25.0,1975,8
438,1975-08-25,0.0,12.2,36.0,25.5,1975,8
439,1975-08-26,0.0,10.7,35.5,24.0,1975,8
440,1975-08-27,2.2,7.6,35.5,25.0,1975,8
441,1975-08-28,0.0,6.1,33.5,25.5,1975,8
442,1975-08-29,0.0,8.9,35.0,25.5,1975,8
443,1975-08-30,0.0,8.9,37.5,24.5,1975,8
444,1975-08-31,0.0,8.8,34.0,25.0,1975,8
445,1975-09-01,0.0,,35.0,22.5,1975,9
446,1975-09-02,0.0,,35.5,22.0,1975,9
447,1975-09-03,0.0,,34.0,22.5,1975,9
448,1975-09-04,13.0,13.0,34.5,23.0,1975,9
449,1975-09-05,0.0,,33.5,20.5,1975,9
450,1975-09-06,0.0,,32.0,22.0,1975,9
451,1975-09-07,0.0,,34.0,21.0,1975,9
452,1975-09-08,0.0,,35.0,22.5,1975,9
453,1975-09-09,0.0,,36.0,21.5,1975,9
454,1975-09-10,0.0,,38.0,22.0,1975,9
455,1975-09-11,0.0,,36.0,18.5,1975,9
456,1975-09-12,0.0,,35.5,19.5,1975,9
457,1975-09-13,0.0,,34.5,22.5,1975,9
458,1975-09-14,0.0,,35.5,21.5,1975,9
459,1975-09-15,0.0,8.1,35.0,23.5,1975,9
460,1975-09-16,0.0,,36.5,24.0,1975,9
461,1975-09-17,0.0,,36.0,23.5,1975,9
462,1975-09-18,0.0,,37.5,23.5,1975,9
463,1975-09-19,0.0,,36.0,24.0,1975,9
464,1975-09-20,0.0,,35.5,22.5,1975,9
465,1975-09-21,0.0,,35.0,17.5,1975,9
466,1975-09-22,0.0,,38.0,22.0,1975,9
467,1975-09-23,0.0,,37.5,18.5,1975,9
468,1975-09-24,0.0,,36.0,17.0,1975,9
469,1975-09-25,0.0,5.8,37.5,17.0,1975,9
470,1975-09-26,0.0,,35.0,17.0,1975,9
471,1975-09-27,0.0,,36.0,16.5,1975,9
472,1975-09-28,0.0,,35.0,15.5,1975,9
473,1975-09-29,0.0,,33.0,17.0,1975,9
474,1975-09-30,0.0,,33.0,19.5,1975,9
475,1975-10-01,0.0,6.3,33.5,18.5,1975,10
476,1975-10-02,0.0,7.8,32.5,16.5,1975,10
477,1975-10-03,0.0,5.9,34.0,17.5,1975,10
478,1975-10-04,0.0,7.8,36.5,16.0,1975,10
479,1975-10-05,0.0,6.7,36.5,15.0,1975,10
480,1975-10-06,0.0,6.8,35.5,16.5,1975,10
481,1975-10-07,0.0,7.5,32.0,16.0,1975,10
482,1975-10-08,0.0,7.4,36.5,15.5,1975,10
483,1975-10-09,0.0,6.6,34.5,13.0,1975,10
484,1975-10-10,0.0,5.1,37.0,16.5,1975,10
